,sample_name,site_id,sample_type,date,time,datetime,description,latitude,longitude,temperature_deg_C,pH,Conductivity_uS_cm,DO_percent,Alkalinity_meq_L,DOC_mg_L,DIC_mg_L,d13C_permil,pCO2_ppmv,Rn_bq_m3,Rn_sterror,pCO2_calc_dic_ph,u_pCO2_calc_dic_ph,alk_calc_dic_ph,u_alk_calc_dic_ph,dic_calc_alk_ph,u_dic_calc_alk_ph,pCO2_calc_alk_ph,u_pCO2_calc_alk_ph,dic_calc_pco2_ph,u_dic_calc_pco2_ph,alk_calc_pco2_ph,u_alk_calc_pco2_ph,pH_calc_dic_alk,u_pH_calc_dic_alk,pCO2_calc_dic_alk,u_pCO2_calc_dic_alk,pH_calc_dic_pco2,u_pH_calc_dic_pco2,alk_calc_dic_pco2,u_alk_calc_dic_pco2,ph_calc_alk_pco2,u_ph_calc_alk_pco2,dic_calc_alk_pco2,u_dic_calc_alk_pco2,KHenry,CO2_calc_alk_ph,CO2_calc_alk_pco2,bicarb_calc_alk_ph,bicarb_calc_alk_pco2,carb_calc_alk_ph,carb_calc_alk_pco2,pco2,CO2_calc,bicarb_calc,carb_calc,dic_calc,dic_calc_u,e_bg,e_dg,e_db,e_cg,e_cb,d13c_bicarb,d13c_co2,d13c_carb,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,elev_m
10,ER22-71,71,P,05/23/22,05:13:00 PM,2022-05-23 17:13:00,wetland draining stream before confluence with clover creek,43.28368,-121.941,22.5,6.7,,,0.261106452,3.713,7.163306286,-14.69598463,,,,5199.46920274314,823.6383891539274,407.8707377334683,30.71990505495065,382.2272765657362,47.34485929117363,3329.2653536304706,836.566160176547,,,,,6.258155092677841,0.0780815234935013,9224.57432263003,773.8441326058777,,,,,,,,,0.0364706660238904,0.1210212308707479,,0.2611479239172239,,5.812177776428623e-05,,3329.2653536304706,0.1210212308707479,0.2611479239172239,5.812177776428623e-05,382.2272765657362,382.2272765657362,8.21275,-1.19975,-9.4125,6.05,-2.24078703294762,-11.750470253752964,-22.153557753752963,-14.989016499667636,,,,,,,,,,,
11,ER22-73,73,FSP,05/26/22,04:24:00 PM,2022-05-26 16:24:00,"low ""false spring"" downhill of 55 and 54",43.29516,-121.90104,6.2,7.27,,,0.5168727356,0.3592,11.28004545,-16.39728245,,,,2249.6257668695366,444.33021886108327,803.0188017643184,30.76766104325257,605.0510605454459,63.87320551616177,1448.0137997047968,363.849943583858,,,,,6.590940301243869,0.0978824984387526,6924.649841825566,889.1746334574445,,,,,,,,,0.0613256886781,0.0884411941843858,,0.5163319247684961,,0.0002779415925639,,1448.0137997047968,0.0884411941843858,0.5163319247684961,0.0002779415925639,605.0510605454459,605.0510605454459,10.07258,-1.27962,-11.352199999999998,6.8976,-3.2906389259349984,-14.76091933982604,-27.10176713982604,-19.048267626835106,,,,,,,,,,,
12,ER22-9C,9C,PZ,05/24/22,11:57:00 AM,2022-05-24 11:57:00,porewater piezometer adjacent to channel in saturated floodplain,43.29293,-121.90678,14.9,5.7,,,0.436134721,10.1465342,32.29092759,-24.11021214,,,,49641.651582755054,2034.72729727478,428.3215535604687,84.06641205442179,2739.7691582998136,598.5555594118819,50542.98880492362,12726.829651203736,,,,,5.709267968916509,0.0522004186823398,49471.011826451264,1427.1750729277928,,,,,,,,,0.0457037023548031,2.301649563598014,,0.4381114557268248,,8.138974974776493e-06,,50542.98880492362,2.301649563598014,0.4381114557268248,8.138974974776493e-06,2739.7691582998136,2739.7691582998136,9.07991,-1.23699,-10.3169,6.4452,-2.7293630495256505,-15.578108567413825,-26.884691667413826,-19.30474225388995,,,,,,,,,,,
13,ER22-9F,9F,SP,05/24/22,03:26:00 PM,2022-05-24 15:26:00,spring upstream of parking at fish camp,43.29286,-121.90768,5.4,7.07,,,0.441930976,0.2567,18.36068805,-17.62762758,,,,5278.063390518237,956.6961652290012,1198.5193966615836,63.7547212232084,564.2295727527902,63.097508854592846,1946.358073521704,488.91956081354846,,,,,6.122265414262186,0.0618346856437592,17293.76245152039,826.5054639308779,,,,,,,,,0.0631357582549875,0.1223823849944309,,0.4417009094753633,,0.0001462782829958,,1946.358073521704,0.1223823849944309,0.4417009094753633,0.0001462782829958,564.2295727527902,564.2295727527902,10.16386,-1.28354,-11.4474,6.9392,-3.3423570967088647,-15.18150815442899,-27.61746075442899,-19.520522894041143,,,,,,,,,,,
14,ER22-9G,9G,SP,05/24/22,04:58:00 PM,2022-05-24 16:58:00,spring downstream of car at frishcamp,43.29317,-121.90714,5.8,7.12,,,0.5312786182,0.2919,11.73390156,-18.41185815,,612.65,56.0,3098.3178079923746,576.214892355863,786.0737498661834,38.35035978460604,660.8963527656935,72.56372906448094,2094.103409892072,526.0539434842315,,,,,6.583888467488326,0.0964851460602559,7202.903651079666,901.915296372976,,,,,,,,,0.0622213500837303,0.129768027666676,,0.5309285243959985,,0.0001998007030189,,2094.103409892072,0.129768027666676,0.5309285243959985,0.0001998007030189,660.8963527656935,660.8963527656935,10.11822,-1.2815800000000002,-11.3998,6.9184,-3.3164957647388693,-16.20878452245991,-28.59718472245991,-20.52196379143404,,,,,,,,,,,
15,ER22-9P,9P,P,05/24/22,03:04:00 PM,2022-05-24 15:04:00,ponded isolated water in floodplain with sheen on top. tea colored,43.29218,-121.90727,25.6,6.88,,,0.5263524755,15.78,15.10027031,-14.83379345,,,,8552.216765952018,1530.2306749627,972.8850903081232,53.94220316516365,680.8290439776675,76.8828060640121,4627.147020643944,1162.5449163266433,,,,,6.205774788159364,0.0756580172105206,21889.78148353199,1711.316091501601,,,,,,,,,0.0335207207152663,0.1546141779647084,,0.5260258227196937,,0.0001890432932654,,4627.147020643944,0.1546141779647084,0.5260258227196937,0.0001890432932654,680.8290439776675,680.8290439776675,7.859039999999999,-1.18456,-9.0436,5.8888,-2.041962645056836,-12.805760166926088,-22.840316566926084,-15.845680849337866,,,,,,,,,,,
16,ER22-T2,T2,P,05/26/22,12:14:00 PM,2022-05-26 12:14:00,transect through fish camp 2 (pond),43.29035,-121.91016,20.1,6.43,,,0.3908907298,21.36246,14.14291428,-19.78465279,,,,14296.041096432424,1757.0199757811763,621.9433427354136,68.67296510433562,740.9822340689099,109.53507653922794,8988.05911731124,2258.105839351808,,,,,6.07847050162522,0.065738176974117,20219.725280207327,1139.5983383284458,,,,,,,,,0.0390486663335218,0.3497828398401525,,0.391155081820711,,4.431240804621033e-05,,8988.05911731124,0.3497828398401525,0.391155081820711,4.431240804621033e-05,740.9822340689099,740.9822340689099,8.48659,-1.21151,-9.6981,6.174799999999999,-2.394899805685519,-15.276430923565774,-25.96483282356577,-18.66893582944561,,,,,,,,,,,
17,ER22-T4,T4,SP,05/26/22,01:17:00 PM,2022-05-26 13:17:00,transect through fish camp 4 (spring halfway through),43.29157,-121.90995,5.9,7.06,,,,0.2337,6.952122826,-17.47926407,,,,2051.515920583956,371.0368804594599,452.7598450019576,24.27214350739412,,,,,,,,,,,,,,,,,,,,,0.0619956952920884,,,,,,,,,,,,,10.10681,-1.28109,-11.3879,6.9132,-3.3100311338289305,,,,,,,,,,,,,,
18,ER23-1,1,R,60923,10:47:00 AM,2023-06-09 10:47:00,barn creek,43.29535,-121.9578,6.5,7.65,31.38,101.4,0.317850625,0.6108,5.159901546,-5.195324186,408.3337277,19.8903217166348,4.105435480629,470.39174860513134,101.6273577257186,402.165653000129,9.578734523114257,339.8266050533938,34.40253258406538,371.7550721816302,93.55143113126634,373.2636749211373,83.44163322722986,349.1182069590328,83.2919243435943,6.952847894622188,0.1686883523189957,1855.8296923903413,539.9220719522547,7.715388975780616,0.0467427429301881,406.0243879752105,7.914952331826357,7.609357177242924,0.0505169405940788,342.0842589417958,31.734798999838794,0.0606659698648601,0.0224620016024065,0.0246721390836405,0.3169514749597011,0.3170357993797104,0.000413128491286,0.0003763204784448,408.3337277,0.0246721390836405,0.3170357993797104,0.0003763204784448,342.0842589417958,342.0842589417958,10.03835,-1.27815,-11.3165,6.882,-3.27124924508197,-4.379135667363406,-16.684319167363405,-8.647113663200294,69.0,,91.0,69.0,2.0,7.0,16964.0539206879,5053.28,16053.0,,1540.239744
19,ER23-10 PZ,10,PZ,61323,05:15:00 PM,2023-06-13 17:15:00,piezometer at site 10 inside of bend,43.29705,-121.89109,10.7,6.1,,,0.759446569,10.548344,38.150797,-25.298492,33095.61779,,,42319.93437049266,3068.3148202233906,968.8880765587496,156.36302260726478,2492.5483881723653,470.72936847152766,33179.22323962934,8334.933616293123,2486.2676314707696,229.67181961483968,757.5309137342545,180.65199056582904,5.9552416313774685,0.0578059751881876,46324.947743818375,1818.6571205335767,6.381892084398828,0.0966612051626534,1450.9632723009668,118.50500807866516,6.101094483101355,0.0505512225542818,2488.1811180238897,128.50731689658727,0.0524116434651234,1.7323430641277298,1.7279778829496568,0.7601736779619869,0.7601715092289444,3.1646082648626626e-05,3.1725845288338435e-05,33095.61779,1.7279778829496568,0.7601715092289444,3.1725845288338435e-05,2488.1811180238897,2488.1811180238897,9.55913,-1.25757,-10.8167,6.6636,-3.00005889921514,-17.92115638561879,-29.72703968561879,-21.91821522593472,,,,,,,,,,,
20,ER23-100,100,R,61123,04:08:00 PM,2023-06-11 16:08:00,"100th site at or near the uppermost extent of Beaver Camp, inferred mainstem, buggy, lots of downed wood. ~2.5 m channel, sand, pumice gravel, lots of aquatic vegetation",43.279,-121.94798,7.07,7.44,24.0,,0.2871524001,0.73,4.742611478,-7.553613901,724.1922316,,,679.0158711737556,141.0785275219086,355.3340063201568,10.571119781582505,319.3776689378923,32.825519487738845,548.7166902368962,137.9650806923187,421.51228658906575,90.85691969083447,378.97342442620527,90.3392388418606,6.9188159311077255,0.1609046744074323,1824.8243377922208,498.27112432223385,7.4087665266725935,0.049459290504408,352.6302970551179,7.585768076056824,7.319706141257639,0.0505675374583271,329.84946050190433,28.78689638444553,0.059440176849121,0.0324853657901686,0.0428739456344363,0.2866578183052046,0.2867976735166122,0.0002344848425189,0.0001778413508557,724.1922316,0.0428739456344363,0.2867976735166122,0.0001778413508557,329.84946050190433,329.84946050190433,9.973313,-1.275357,-11.24867,6.85236,-3.234415812478552,-6.098691632973452,-18.33611296297345,-10.329873029639526,88.0,,92.0,88.0,3.0,6.0,15994.1043959885,5065.565,64409.0,,1543.9842119999998
21,ER23-101,101,R,61223,11:45:00 AM,2023-06-12 11:45:00,"upstream of beaver camp. Upstream of beaver camp. River is about 4 m wide, sandy bottom",43.28102,-121.94336,6.1,7.37,28.26,100.6,0.2859818779,0.7366,4.51808571,-7.923303171,635.1573011,,,736.8090562153332,149.98003995874566,331.5710335383362,10.996594880506354,324.73866137269755,33.71166754115113,635.5002590758234,159.74209371966543,324.5634109107418,68.64089572244309,285.8275461442327,68.12415784823384,7.004233442616278,0.1828805841333981,1476.8732751840316,477.9367433761458,7.442511740320661,0.04917763093827,337.86303873171994,7.188950783800649,7.37023404706326,0.0505633991364651,324.7174857615749,28.647374881859253,0.0615478717272548,0.0389552425636707,0.038934219738036,0.2855904857390141,0.2855902291247625,0.0001929330700127,0.0001930368987763,635.1573011,0.038934219738036,0.2855902291247625,0.0001930368987763,324.7174857615749,324.7174857615749,10.08399,-1.28011,-11.3641,6.9028,-3.297102714437135,-6.567728675936011,-18.920464575936013,-10.86153428765871,88.0,,92.0,88.0,3.0,6.0,15442.9773946304,5058.262,80535.0,,1541.7582576
22,ER23-102,102,R,61223,12:49:00 PM,2023-06-12 12:49:00,"middle of beaver camp, before organic rich side-channel",43.28365,-121.94099,7.3,7.1,30.32,99.7,0.3074641448,0.7425,5.76505046,-10.02968659,1115.057055,,,1617.6178973992626,300.333055663698,385.5280809719038,18.93537907766458,383.1552464453678,42.12219654550749,1290.116272388954,324.1265950576265,331.1639189838569,64.35126217811593,265.7366829221402,63.31892606010581,6.742126530708323,0.1223003559008748,2943.4201332218977,542.671285974366,7.293527245301213,0.0510605386628952,415.1822460134376,9.519926026147218,7.163258913292524,0.0505819088013267,372.8422604992255,30.96155280333445,0.0589555983078435,0.0757562813983726,0.0654767154261217,0.3072832594753762,0.3072317191229358,0.0001157055716189,0.0001338259501678,1115.057055,0.0654767154261217,0.3072317191229358,0.0001338259501678,372.8422604992255,372.8422604992255,9.94707,-1.27423,-11.2213,6.8404,-3.219555781814475,-8.07382156246221,-20.28390026246221,-12.29015778849487,88.0,,92.0,88.0,3.0,6.0,15000.1346679849,5054.155,93462.0,1.0,1540.506444
23,ER23-103,103,R,61223,04:30:00 PM,2023-06-12 16:30:00,"cross log, northern main stem before confluence",43.2911,-121.93449,8.7,6.97,51.05,98.2,0.3735747068,1.053,5.972380384,-11.7637196,1257.563142,,,2166.078044718614,379.5005062153824,376.6298563852581,22.22516030076943,493.66201855595017,56.61425269383467,2148.5110950471903,539.7057726683562,288.94947788372826,53.26571548232299,218.62582152673627,52.1044403855411,6.955686530398255,0.1763690537996252,2220.5694233375743,685.2534206374226,7.260968159356351,0.0513569609016726,427.6296639117929,9.924475045159651,7.202357386567516,0.0505805188249488,443.7148310603562,37.54964603819116,0.0561250889872808,0.1201132376773016,0.0703044917559257,0.3734400455845558,0.3732247822345721,0.0001087352940927,0.0001855570698582,1257.563142,0.0703044917559257,0.3732247822345721,0.0001855570698582,443.7148310603562,443.7148310603562,9.78733,-1.26737,-11.0547,6.7676,-3.129135441282747,-10.02842526486256,-22.07207056486256,-14.154431570704023,93.0,,94.0,93.0,3.0,5.0,13996.8756178026,4999.98,165005.0,1.0,1523.993904
24,ER23-103 PZ,103,PZ,61223,04:45:00 PM,2023-06-12 16:45:00,"cross log, ~10m from the main stem on the floodplain",43.29126,-121.93455,12.3,5.88,74.27,,0.4021222721,3.743532,25.57328734,-25.28593721,27895.21552,,,33798.20007826215,1779.2231897234262,456.50908912827214,83.49389965793164,1877.9445258500548,388.923342962722,29783.17678601141,7492.991182079262,1758.9012636085226,136.7819096384179,376.5482725346158,90.22017554859988,5.8114898369162855,0.053979621216588,34892.11954566222,1119.2539616707857,6.177760829050385,0.1253704113766614,749.4402605937651,91.44078577367424,5.908349878160278,0.0503758728922187,1784.3903925485586,92.11732528342814,0.0496941272436621,1.474517302870233,1.3810473693609864,0.4034166403788309,0.4033317291070495,1.0582600991051536e-05,1.1294080522840304e-05,27895.21552,1.3810473693609864,0.4033317291070495,1.1294080522840304e-05,1784.3903925485586,1784.3903925485586,9.37657,-1.24973,-10.6263,6.5804,-2.896878403499101,-17.203068371779857,-28.81874207177986,-21.09704989687546,,,,,,,,,,,
25,ER23-109,109,R,61323,02:08:00 PM,2023-06-13 14:08:00,A small drainage for the eastern part of the southern edge of the southern subcatchment.,43.2854,-121.93465,7.3,7.08,43.73,96.4,0.4600523723,0.3205,7.790889556,-15.03014215,1748.802606,,,2267.9718496355795,417.2217615851237,516.1942776061381,26.164630938495502,578.6361938346064,64.02399528816315,2021.3310780972347,507.7771895256593,500.6208506210889,96.46598283815372,398.0177476988893,94.81919038217154,6.877731291569299,0.151085177206409,3221.652231857037,806.6734190706567,7.217764818539108,0.0523925718706091,546.7973366647614,13.236844558017529,7.14283344551408,0.0505903216585964,562.5919729471019,46.37024046855503,0.0589555983078435,0.1186935853991333,0.1026905753890076,0.4597772741691593,0.4597103536903593,0.0001653342663136,0.0001910438677349,1748.802606,0.1026905753890076,0.4597103536903593,0.0001910438677349,562.5919729471019,562.5919729471019,9.94707,-1.27423,-11.2213,6.8404,-3.219555781814475,-13.00746835551189,-25.217547055511886,-17.22380458154455,89.0,,92.0,89.0,1.0,6.0,14350.0127140928,5049.129,673.0,,1538.9745192
26,ER23-110,110,R,61323,12:00:00 AM,2023-06-13 00:00:00,Mainstem sample after confluence with ER23-109,43.28662,-121.93434,8.85,7.17,30.18,101.7,0.3117878523,,,,,,,,,,,374.673180745416,40.20138320098221,1132.8030684612193,284.6459328703106,,,,,,,,,,,,,,,,,0.0558335261099787,0.0630012304595819,,0.3115275465977973,,0.0001444036880366,,1132.8030684612193,0.0630012304595819,0.3115275465977973,0.0001444036880366,374.673180745416,374.673180745416,9.770215,-1.266635,-11.03685,6.7598,-3.1194508092945625,,,,92.0,,94.0,92.0,3.0,5.0,14179.3020305114,5022.829,97382.0,,1530.9582792
27,ER23-19,19,R,60723,12:00:00 PM,2023-06-07 12:00:00,Mainstem site ,43.28815,-121.91452,,7.1,40.705,95.9,0.3044850063,1.88,5.857349869,-12.56966993,1334.13154,,,1682.195630384607,314.4434121738725,394.3909513185641,18.909604940096944,376.8547332347808,41.23557430763447,1298.7649357791263,326.3140628985249,387.1168459789026,75.69061668087213,312.77768609666265,74.52361374743116,6.696800270996724,0.1170323948260302,3289.5669395085997,566.8170129244987,7.221497554232182,0.0520379558187168,413.8956154078091,9.876853242790366,7.08834527635933,0.0505833290565939,378.83362968566826,30.74185462621428,0.0559975026822165,0.0724430787349326,0.0744157726563488,0.3042919020179449,0.304301271896402,0.0001197524819031,0.0001165851329173,1334.13154,0.0744157726563488,0.304301271896402,0.0001165851329173,378.83362968566826,378.83362968566826,,,,,,,,,96.0,,97.0,96.0,4.0,3.0,11431.5349896165,4976.161,296656.0,1.0,1516.7338728000002
28,ER23-2,2,R,60923,11:06:00 AM,2023-06-09 11:06:00,"near hobo site 2, hiked down past saturated slope break springs with ponded water",43.29324,-121.95667,6.2,7.4,51.85,95.7,0.3497960039,1.169,6.064548749,-11.44719383,960.3163808,186.758197398026,17.9483758386608,931.6785838676908,191.22952859487629,448.81210207456206,14.250350014139446,393.8802098743432,40.715791854394816,726.1277394327107,182.5301290590711,520.9133284327938,111.01903990013082,462.60724322490495,110.25516856086452,6.8556978575399645,0.1430063122118701,2546.4504101466355,590.4235091503211,7.3851652231147105,0.0498862174214354,447.0476939742801,9.778275341722397,7.278783774636239,0.0505767812901127,408.2710837870523,35.11060709575926,0.0613256886781,0.0443501328640166,0.0586538108477241,0.349276450954013,0.3494253341605944,0.0002536260563134,0.0001919387787337,960.3163808,0.0586538108477241,0.3494253341605944,0.0001919387787337,408.2710837870523,408.2710837870523,10.07258,-1.27962,-11.352199999999998,6.8976,-3.2906389259349984,-9.830793899367576,-22.171641699367576,-14.11814218637664,84.0,,91.0,84.0,3.0,7.0,16826.7746956814,5031.525,106969.0,1.0,1533.60882
29,ER23-21,21,R,60723,03:00:00 PM,2023-06-07 15:00:00,At cow camp,43.3076,-121.86453,10.5,7.04,40.17,96.7,0.3304003304,2.352,5.608367617,-12.74811081,1496.890852,,,1849.8253229916136,339.0588975850179,370.2041311704641,19.008894171112185,417.12150231085343,46.2777307555703,1650.9657792047444,414.7828323060829,378.19400550044975,72.63318055192669,299.5606352594222,71.37700566954135,6.842176314366446,0.1501669654394114,2604.7231169372394,646.8955625467592,7.153134154232219,0.0530356660846301,388.83531349399465,9.667242231080678,7.08250005353942,0.0505833328367052,408.9984085483959,33.3399529036594,0.052766598685092,0.086782624620957,0.0786837126147061,0.3302198266180206,0.3301834198899677,0.0001190510718757,0.000131276043722,1496.890852,0.0786837126147061,0.3301834198899677,0.000131276043722,408.9984085483959,408.9984085483959,9.58195,-1.25855,-10.8405,6.674,-3.0129615062080486,-10.683924256863577,-22.51358375686357,-14.693872801565416,99.0,,-1.0,99.0,4.0,1.0,3977.17833520552,4949.831,429532.0,1.0,1508.7084888000002
